"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat","State"
2015-01-01,61.7021834982525,153.357898739625,153.357898739625,153.357898739625,153.357898739625,153.357898739625,153.357898739625,0,0,0,54.9362271665559,394.665290572625,61.7021834982525,61.7021834982525,215.060082237878,"Alabama"
2016-01-01,56.7986502948118,126.955337353666,126.955337353666,126.955337353666,126.955337353666,126.955337353666,126.955337353666,0,0,0,4.54783876961941,356.693083047944,56.7986502948118,56.7986502948118,183.753987648478,"Alabama"
2017-01-01,51.8816827495814,208.961660383912,208.961660383912,208.961660383912,208.961660383912,208.961660383912,208.961660383912,0,0,0,97.1916483229434,448.778209878245,51.8816827495814,51.8816827495814,260.843343133493,"Alabama"
2018-01-01,46.9781495452018,180.704426812217,180.704426812217,180.704426812217,180.704426812217,180.704426812217,180.704426812217,0,0,0,53.0790293400692,391.362777734769,46.9781495452018,46.9781495452018,227.682576357419,"Alabama"
2019-01-01,42.0746163393592,153.357898739606,153.357898739606,153.357898739606,153.357898739606,153.357898739606,153.357898739606,0,0,0,31.697905582844,368.203794808243,42.0746163393592,42.0746163393592,195.432515078966,"Alabama"
2020-01-01,37.1710831321855,126.955337353706,126.955337353706,126.955337353706,126.955337353706,126.955337353706,126.955337353706,0,0,0,-4.31772034712005,333.990754241991,37.1710831321855,37.1710831321855,164.126420485891,"Alabama"
2021-01-01,32.2541155900005,208.961660383856,208.961660383856,208.961660383856,208.961660383856,208.961660383856,208.961660383856,0,0,0,77.5878586602207,426.72678234195,32.2541155900005,32.2541155900005,241.215775973857,"Alabama"
2022-01-01,27.3505823891976,180.704426812182,180.704426812182,180.704426812182,180.704426812182,180.704426812182,180.704426812182,0,0,0,38.1411503985711,385.442761365343,27.3505823891976,27.3505823891976,208.055009201379,"Alabama"
2023-01-01,22.4470491866336,153.35789873966,153.35789873966,153.35789873966,153.35789873966,153.35789873966,153.35789873966,0,0,0,7.87229502188316,360.062152759916,22.4470491866336,22.4470491866336,175.804947926293,"Alabama"
2024-01-01,17.5435159840696,126.955337353651,126.955337353651,126.955337353651,126.955337353651,126.955337353651,126.955337353651,0,0,0,-29.3056221535314,314.385371941517,17.5435159840696,17.5435159840696,144.49885333772,"Alabama"
2025-01-01,12.6265484439644,208.961660383923,208.961660383923,208.961660383923,208.961660383923,208.961660383923,208.961660383923,0,0,0,33.4460995565848,395.09865420519,12.6265481600211,12.6265487005458,221.588208827887,"Alabama"
2026-01-01,7.72301524140038,180.704426812156,180.704426812156,180.704426812156,180.704426812156,180.704426812156,180.704426812156,0,0,0,25.8897059433751,360.852456637743,7.72301427232007,7.72301611974826,188.427442053557,"Alabama"
2027-01-01,2.81948203883639,153.357898739574,153.357898739574,153.357898739574,153.357898739574,153.357898739574,153.357898739574,0,0,0,-7.40812868922097,320.482134541349,2.81948007970159,2.81948388427821,156.17738077841,"Alabama"
2028-01-01,-2.08405116372759,126.955337353726,126.955337353726,126.955337353726,126.955337353726,126.955337353726,126.955337353726,0,0,0,-44.4380565175577,289.271039445292,-2.08405447124869,-2.0840484028173,124.871286189999,"Alabama"
2029-01-01,-7.00101870383287,208.961660383847,208.961660383847,208.961660383847,208.961660383847,208.961660383847,208.961660383847,0,0,0,32.8962609816157,372.241801807334,-7.00102332685214,-7.00101480262608,201.960641680014,"Alabama"
2015-01-01,-83.8203323425336,1279.16999373172,1279.16999373172,1279.16999373172,1279.16999373172,1279.16999373172,1279.16999373172,0,0,0,747.721764189808,1695.13538393911,-83.8203323425336,-83.8203323425336,1195.34966138919,"Alaska"
2016-01-01,-198.19335534535,1167.34562999947,1167.34562999947,1167.34562999947,1167.34562999947,1167.34562999947,1167.34562999947,0,0,0,425.715684065958,1478.7193982061,-198.19335534535,-198.19335534535,969.152274654117,"Alaska"
2017-01-01,-312.879729090648,1492.94092237033,1492.94092237033,1492.94092237033,1492.94092237033,1492.94092237033,1492.94092237033,0,0,0,673.778456723832,1704.07418515029,-312.879729090648,-312.879729090648,1180.06119327968,"Alaska"
2018-01-01,-427.252752063184,1387.74619136683,1387.74619136683,1387.74619136683,1387.74619136683,1387.74619136683,1387.74619136683,0,0,0,466.131423486765,1515.73339731241,-427.252752063184,-427.252752063184,960.493439303643,"Alaska"
2019-01-01,-541.625775070896,1279.16999373162,1279.16999373162,1279.16999373162,1279.16999373162,1279.16999373162,1279.16999373162,0,0,0,237.772845605814,1258.07278272273,-541.625775070896,-541.625775070896,737.544218660726,"Alaska"
