Year,Week,Total_Specimens,Total_A,Total_B,Percent_Positive,Data_Type,Total_A_H1,Total_A_H3,Weighted_ILI
2015,40,12029,84.0,43,1.05578,Clinical_Labs,,,1.22559
2015,41,13111,116.0,54,1.29662,Clinical_Labs,,,1.31066
2015,42,13441,97.0,52,1.10855,Clinical_Labs,,,1.3711
2015,43,13537,98.0,52,1.10807,Clinical_Labs,,,1.39171
2015,44,14687,97.0,68,1.12344,Clinical_Labs,,,1.43712
2015,45,15048,122.0,86,1.38224,Clinical_Labs,,,1.50165
2015,46,15250,84.0,98,1.19344,Clinical_Labs,,,1.59805
2015,47,15234,119.0,92,1.38506,Clinical_Labs,,,1.89668
2015,48,16201,145.0,81,1.39498,Clinical_Labs,,,1.67728
2015,49,16673,140.0,106,1.47544,Clinical_Labs,,,1.78296
2015,50,17358,244.0,192,2.51181,Clinical_Labs,,,1.87336
2015,51,16878,220.0,166,2.287,Clinical_Labs,,,2.32148
2015,52,18865,264.0,200,2.45958,Clinical_Labs,,,2.40991
2016,1,19786,396.0,184,2.93137,Clinical_Labs,,,1.94328
2016,2,18689,571.0,224,4.25384,Clinical_Labs,,,1.99796
2016,3,18798,716.0,315,5.48463,Clinical_Labs,,,2.11829
2016,4,20791,1035.0,412,6.95974,Clinical_Labs,,,2.25112
2016,5,22261,1572.0,587,9.69858,Clinical_Labs,,,2.37116
2016,6,24934,2265.0,864,12.5491,Clinical_Labs,,,2.80035
2016,7,27208,3135.0,1092,15.5359,Clinical_Labs,,,3.16475
2016,8,30966,4410.0,1276,18.3621,Clinical_Labs,,,3.15183
2016,9,33880,5523.0,1629,21.1098,Clinical_Labs,,,3.3321
2016,10,36781,6679.0,2018,23.6454,Clinical_Labs,,,3.56024
2016,11,34233,5047.0,1790,19.972,Clinical_Labs,,,3.05479
2016,12,30161,3919.0,1652,18.4709,Clinical_Labs,,,2.76732
2016,13,27603,2965.0,1514,16.2265,Clinical_Labs,,,2.44161
2016,14,23979,1971.0,1390,14.0164,Clinical_Labs,,,2.03348
2016,15,21683,1506.0,1364,13.2362,Clinical_Labs,,,1.98593
2016,16,19860,1123.0,1329,12.3464,Clinical_Labs,,,1.91514
2016,17,17970,701.0,1143,10.2615,Clinical_Labs,,,1.69968
2016,18,15380,427.0,822,8.12094,Clinical_Labs,,,1.57635
2016,19,14090,280.0,662,6.68559,Clinical_Labs,,,1.3935
2016,20,12545,224.0,505,5.81108,Clinical_Labs,,,1.29941
2016,21,11591,139.0,408,4.71918,Clinical_Labs,,,1.18379
2016,22,10067,82.0,226,3.0595,Clinical_Labs,,,1.13723
2016,23,9172,70.0,207,3.02006,Clinical_Labs,,,1.04118
2016,24,8364,59.0,94,1.82927,Clinical_Labs,,,0.971814
2016,25,7417,44.0,83,1.71228,Clinical_Labs,,,0.863306
2016,26,6298,26.0,51,1.22261,Clinical_Labs,,,0.833797
2016,27,5978,24.0,30,0.903312,Clinical_Labs,,,0.784516
2016,28,6328,24.0,31,0.869153,Clinical_Labs,,,0.734327
2016,29,5888,24.0,26,0.849185,Clinical_Labs,,,0.698845
2016,30,5756,20.0,25,0.781793,Clinical_Labs,,,0.723099
2016,31,5675,33.0,20,0.933921,Clinical_Labs,,,0.663501
2016,32,5773,22.0,30,0.900745,Clinical_Labs,,,0.69276
2016,33,5974,27.0,21,0.803482,Clinical_Labs,,,0.710029
2016,34,6264,63.0,25,1.40485,Clinical_Labs,,,0.834232
2016,35,7093,78.0,41,1.67771,Clinical_Labs,,,0.992621
2016,36,7732,57.0,56,1.46146,Clinical_Labs,,,1.01605
2016,37,8727,74.0,58,1.51255,Clinical_Labs,,,1.07169
2016,38,9418,97.0,67,1.74135,Clinical_Labs,,,1.10163
2016,39,10596,106.0,83,1.78369,Clinical_Labs,,,1.18841
2016,40,13380,120.0,90,1.56951,Clinical_Labs,,,1.2019
2016,41,14053,108.0,83,1.35914,Clinical_Labs,,,1.23108
2016,42,15110,115.0,97,1.40304,Clinical_Labs,,,1.26796
2016,43,15312,143.0,88,1.50862,Clinical_Labs,,,1.36298
2016,44,16652,201.0,118,1.91569,Clinical_Labs,,,1.48535
2016,45,17811,271.0,121,2.20089,Clinical_Labs,,,1.55954
2016,46,19060,347.0,144,2.57608,Clinical_Labs,,,1.64783
2016,47,18520,451.0,169,3.34773,Clinical_Labs,,,1.91275
2016,48,21542,532.0,183,3.3191,Clinical_Labs,,,1.81725
2016,49,20564,696.0,180,4.25987,Clinical_Labs,,,1.91433
2016,50,23476,1359.0,210,6.68342,Clinical_Labs,,,2.21003
2016,51,26934,2563.0,341,10.7819,Clinical_Labs,,,2.73568
2016,52,33273,4270.0,388,13.9993,Clinical_Labs,,,3.36832
2017,1,35028,4288.0,386,13.3436,Clinical_Labs,,,3.09689
2017,2,35198,4935.0,476,15.373,Clinical_Labs,,,3.07346
2017,3,36732,6062.0,655,18.2865,Clinical_Labs,,,3.51643
2017,4,38052,6254.0,797,18.5299,Clinical_Labs,,,3.8027
2017,5,41435,7779.0,1097,21.4215,Clinical_Labs,,,4.50313
2017,6,47995,9702.0,1890,24.1525,Clinical_Labs,,,5.06308
2017,7,49356,9546.0,2552,24.5117,Clinical_Labs,,,4.86009
2017,8,47381,8763.0,2952,24.7251,Clinical_Labs,,,4.57916
2017,9,40431,5605.0,2389,19.772,Clinical_Labs,,,3.55674
2017,10,38487,4632.0,2785,19.2714,Clinical_Labs,,,3.50417
2017,11,36598,3795.0,3171,19.0338,Clinical_Labs,,,3.21511
2017,12,35188,3221.0,3715,19.7113,Clinical_Labs,,,3.10088
2017,13,32481,2345.0,3658,18.4816,Clinical_Labs,,,2.79056
2017,14,28713,1443.0,2986,15.4251,Clinical_Labs,,,2.38547
2017,15,25001,902.0,2283,12.7395,Clinical_Labs,,,1.9703
2017,16,22091,567.0,1575,9.69626,Clinical_Labs,,,1.73442
2017,17,18795,326.0,946,6.76776,Clinical_Labs,,,1.56303
2017,18,16223,252.0,708,5.91752,Clinical_Labs,,,1.4128
2017,19,15302,232.0,584,5.33264,Clinical_Labs,,,1.27492
2017,20,14292,216.0,479,4.86286,Clinical_Labs,,,1.2834
2017,21,12821,180.0,378,4.35223,Clinical_Labs,,,1.16663
2017,22,11644,171.0,314,4.16524,Clinical_Labs,,,1.10977
2017,23,10662,136.0,225,3.38586,Clinical_Labs,,,1.04333
2017,24,9568,131.0,162,3.06229,Clinical_Labs,,,0.905151
2017,25,8455,107.0,117,2.64932,Clinical_Labs,,,0.902718
2017,26,7498,94.0,96,2.53401,Clinical_Labs,,,0.859531
2017,27,7071,75.0,79,2.17791,Clinical_Labs,,,0.818998
2017,28,7394,92.0,68,2.16392,Clinical_Labs,,,0.752505
2017,29,7178,87.0,45,1.83895,Clinical_Labs,,,0.731146
2017,30,6755,72.0,50,1.80607,Clinical_Labs,,,0.733295
