State,Year,Strain,Cases
Alabama,2015,A_H1N1_2009,59.0
Alabama,2016,A_H1N1_2009,3.0
Alabama,2017,A_H1N1_2009,131.0
Alabama,2018,A_H1N1_2009,42.0
Alabama,2019,A_H1N1_2009,174.0
Alabama,2020,A_H1N1_2009,0.0
Alabama,2021,A_H1N1_2009,0.0
Alabama,2022,A_H1N1_2009,2.0
Alabama,2023,A_H1N1_2009,28.0
Alabama,2024,A_H1N1_2009,163.0
Alaska,2015,A_H1N1_2009,607.0
Alaska,2016,A_H1N1_2009,14.0
Alaska,2017,A_H1N1_2009,173.0
Alaska,2018,A_H1N1_2009,718.0
Alaska,2019,A_H1N1_2009,102.0
Alaska,2020,A_H1N1_2009,1.0
Alaska,2021,A_H1N1_2009,0.0
Alaska,2022,A_H1N1_2009,125.0
Alaska,2023,A_H1N1_2009,7.0
Alaska,2024,A_H1N1_2009,141.0
American Samoa,2015,A_H1N1_2009,0.0
American Samoa,2016,A_H1N1_2009,0.0
American Samoa,2017,A_H1N1_2009,0.0
American Samoa,2018,A_H1N1_2009,0.0
American Samoa,2019,A_H1N1_2009,0.0
American Samoa,2020,A_H1N1_2009,0.0
American Samoa,2021,A_H1N1_2009,0.0
American Samoa,2022,A_H1N1_2009,0.0
American Samoa,2023,A_H1N1_2009,0.0
American Samoa,2024,A_H1N1_2009,0.0
Arizona,2015,A_H1N1_2009,762.0
Arizona,2016,A_H1N1_2009,63.0
Arizona,2017,A_H1N1_2009,180.0
Arizona,2018,A_H1N1_2009,1192.0
Arizona,2019,A_H1N1_2009,632.0
Arizona,2020,A_H1N1_2009,1.0
Arizona,2021,A_H1N1_2009,0.0
Arizona,2022,A_H1N1_2009,227.0
Arizona,2023,A_H1N1_2009,536.0
Arizona,2024,A_H1N1_2009,29.0
Arkansas,2015,A_H1N1_2009,20.0
Arkansas,2016,A_H1N1_2009,0.0
Arkansas,2017,A_H1N1_2009,21.0
Arkansas,2018,A_H1N1_2009,74.0
Arkansas,2019,A_H1N1_2009,146.0
Arkansas,2020,A_H1N1_2009,0.0
Arkansas,2021,A_H1N1_2009,0.0
Arkansas,2022,A_H1N1_2009,99.0
Arkansas,2023,A_H1N1_2009,49.0
Arkansas,2024,A_H1N1_2009,502.0
California,2015,A_H1N1_2009,1462.0
California,2016,A_H1N1_2009,184.0
California,2017,A_H1N1_2009,661.0
California,2018,A_H1N1_2009,2991.0
California,2019,A_H1N1_2009,3055.0
California,2020,A_H1N1_2009,0.0
California,2021,A_H1N1_2009,6.0
California,2022,A_H1N1_2009,448.0
California,2023,A_H1N1_2009,1818.0
California,2024,A_H1N1_2009,6907.0
Colorado,2015,A_H1N1_2009,912.0
Colorado,2016,A_H1N1_2009,3.0
Colorado,2017,A_H1N1_2009,54.0
Colorado,2018,A_H1N1_2009,520.0
Colorado,2019,A_H1N1_2009,552.0
Colorado,2020,A_H1N1_2009,0.0
Colorado,2021,A_H1N1_2009,1.0
Colorado,2022,A_H1N1_2009,206.0
Colorado,2023,A_H1N1_2009,460.0
Colorado,2024,A_H1N1_2009,189.0
Connecticut,2015,A_H1N1_2009,662.0
Connecticut,2016,A_H1N1_2009,19.0
Connecticut,2017,A_H1N1_2009,161.0
Connecticut,2018,A_H1N1_2009,560.0
Connecticut,2019,A_H1N1_2009,272.0
Connecticut,2020,A_H1N1_2009,0.0
Connecticut,2021,A_H1N1_2009,2.0
Connecticut,2022,A_H1N1_2009,191.0
Connecticut,2023,A_H1N1_2009,584.0
Connecticut,2024,A_H1N1_2009,1012.0
Delaware,2015,A_H1N1_2009,414.0
Delaware,2016,A_H1N1_2009,5.0
Delaware,2017,A_H1N1_2009,163.0
Delaware,2018,A_H1N1_2009,439.0
Delaware,2019,A_H1N1_2009,507.0
Delaware,2020,A_H1N1_2009,0.0
Delaware,2021,A_H1N1_2009,1.0
Delaware,2022,A_H1N1_2009,100.0
Delaware,2023,A_H1N1_2009,331.0
Delaware,2024,A_H1N1_2009,298.0
District of Columbia,2015,A_H1N1_2009,68.0
District of Columbia,2016,A_H1N1_2009,1.0
District of Columbia,2017,A_H1N1_2009,56.0
District of Columbia,2018,A_H1N1_2009,147.0
District of Columbia,2019,A_H1N1_2009,138.0
District of Columbia,2020,A_H1N1_2009,0.0
District of Columbia,2021,A_H1N1_2009,0.0
District of Columbia,2022,A_H1N1_2009,77.0
District of Columbia,2023,A_H1N1_2009,412.0
District of Columbia,2024,A_H1N1_2009,806.0
Florida,2015,A_H1N1_2009,360.0
Florida,2016,A_H1N1_2009,30.0
Florida,2017,A_H1N1_2009,317.0
Florida,2018,A_H1N1_2009,524.0
Florida,2019,A_H1N1_2009,1626.0
Florida,2020,A_H1N1_2009,1.0
Florida,2021,A_H1N1_2009,6.0
Florida,2022,A_H1N1_2009,333.0
Florida,2023,A_H1N1_2009,757.0
Florida,2024,A_H1N1_2009,727.0
Georgia,2015,A_H1N1_2009,297.0
Georgia,2016,A_H1N1_2009,27.0
Georgia,2017,A_H1N1_2009,261.0
Georgia,2018,A_H1N1_2009,228.0
Georgia,2019,A_H1N1_2009,646.0
Georgia,2020,A_H1N1_2009,0.0
Georgia,2021,A_H1N1_2009,9.0
Georgia,2022,A_H1N1_2009,456.0
Georgia,2023,A_H1N1_2009,673.0
Georgia,2024,A_H1N1_2009,216.0
Hawaii,2015,A_H1N1_2009,477.0
Hawaii,2016,A_H1N1_2009,53.0
Hawaii,2017,A_H1N1_2009,102.0
Hawaii,2018,A_H1N1_2009,701.0
Hawaii,2019,A_H1N1_2009,1283.0
Hawaii,2020,A_H1N1_2009,0.0
Hawaii,2021,A_H1N1_2009,1.0
Hawaii,2022,A_H1N1_2009,93.0
Hawaii,2023,A_H1N1_2009,437.0
Hawaii,2024,A_H1N1_2009,562.0
Idaho,2015,A_H1N1_2009,200.0
Idaho,2016,A_H1N1_2009,9.0
Idaho,2017,A_H1N1_2009,94.0
Idaho,2018,A_H1N1_2009,858.0
Idaho,2019,A_H1N1_2009,546.0
Idaho,2020,A_H1N1_2009,0.0
Idaho,2021,A_H1N1_2009,0.0
Idaho,2022,A_H1N1_2009,401.0
Idaho,2023,A_H1N1_2009,333.0
Idaho,2024,A_H1N1_2009,609.0
Illinois,2015,A_H1N1_2009,249.0
Illinois,2016,A_H1N1_2009,6.0
Illinois,2017,A_H1N1_2009,144.0
Illinois,2018,A_H1N1_2009,445.0
Illinois,2019,A_H1N1_2009,376.0
Illinois,2020,A_H1N1_2009,0.0
Illinois,2021,A_H1N1_2009,0.0
Illinois,2022,A_H1N1_2009,163.0
Illinois,2023,A_H1N1_2009,190.0
Illinois,2024,A_H1N1_2009,644.0
Indiana,2015,A_H1N1_2009,270.0
Indiana,2016,A_H1N1_2009,39.0
Indiana,2017,A_H1N1_2009,126.0
Indiana,2018,A_H1N1_2009,287.0
Indiana,2019,A_H1N1_2009,283.0
Indiana,2020,A_H1N1_2009,0.0
Indiana,2021,A_H1N1_2009,1.0
Indiana,2022,A_H1N1_2009,17.0
Indiana,2023,A_H1N1_2009,51.0
Indiana,2024,A_H1N1_2009,311.0
Iowa,2015,A_H1N1_2009,276.0
Iowa,2016,A_H1N1_2009,15.0
Iowa,2017,A_H1N1_2009,60.0
Iowa,2018,A_H1N1_2009,468.0
Iowa,2019,A_H1N1_2009,528.0
